,extracted_academic-program,program,program_visual-inspect,program_match,visual-inspected-match
0,nuclear engineering,nuclear engineering,nuclear engineering,1,1
1,mathematics,mathematics,mathematics,1,1
2,mechanical engineering,mechanical engineering,mechanical engineering,1,1
3,naval architecture and marine engineering,naval architecture and marine engineering,naval architecture and marine engineering,1,1
4,mathematics,mathematics,mathematics,1,1
5,aeronautics and astronautics,aeronautics and astronautics,aeronautics and astronautics,1,1
6,mechanical engineering,mechanical engineering,mechanical engineering,1,1
7,mechanical engineering,mechanical engineering,mechanical engineering,1,1
8,naval architecture and marine engineering,naval architecture and marine engineering,naval architecture and marine engineering,1,1
9,mechanical engineering,mechanical engineering,mechanical engineering,1,1
10,,architecture,na,0,0
11,mathematics,mathematics,mathematics,1,1
12,mechanical engineering fibers and polymers division,mechanical engineering,mechanical engineering fibers and polymers division,0,1
13,architecture,architecture,architecture,1,1
14,architecture,architecture,architecture,1,1
15,architecture,architecture,architecture,1,1
16,chemical engineering,chemical engineering,chemical engineering,1,1
17,mechanical engineering,mechanical engineering,mechanical engineering,1,1
18,,aeronautical engineering dept.,na,0,0
19,city and regional planning,architecture,city and regional planning,0,1
20,,architecture,na,0,0
21,,architecture,na,0,0
22,city and regional planning,architecture,city and regional planning,0,1
23,mechanical engineering,mechanical engineering,mechanical engineering,1,1
24,mechanical engineering,mechanical engineering,mechanical engineering,1,1
25,metal-carbon systems,metallurgy,metallurgy,0,0
26,city and regional planning,architecture,city and regional planning,0,1
27,architecture,architecture,architecture,1,1
28,architecture,architecture,architecture,1,1
29,biology,biology,biology,1,1
30,,architecture,na,0,0
31,chemistry,chemistry,chemistry,1,1
32,physics,physics,physics,1,1
33,city and regional planning,city and regional planning,city and regional planning,1,1
34,mechanical engineering,mechanical engineering,mechanical engineering,1,1
35,mechanical engineering and physics,mechanical engineering,mechanical engineering and physics,0,1
36,mechanical engineering,mechanical engineering,mechanical engineering,1,1
37,mechanical engineering,mechanical engineering,mechanical engineering,1,1
38,mathematics,mathematics,mathematics,1,1
39,architecture,architecture,architecture,1,1
40,architecture,architecture,architecture,1,1
41,architecture,architecture,architecture,1,1
42,architecture,architecture,architecture,1,1
43,chemical engineering,chemical engineering,chemical engineering,1,1
44,metallurgy,metallurgy,metallurgy,1,1
45,,architecture,architecture and planning,0,0
46,,civil and environmental engineering,na,0,0
47,,mechanical engineering,mechanical engineering,0,0
48,mathematics,mathematics,mathematics,1,1
49,,naval architecture and marine engineering,na,0,0
50,vocational and technical education,marketing,,0,0
51,administration and supervision of special education,special education,,0,0
52,chemistry,polymers,,0,0
53,educational administration,education history,,0,0
54,chemistry,analytical chemistry,,0,0
55,civil engineering,civil engineering,,1,0
56,electrical engineering,electrical engineering,,1,0
57,industrial engineering and operations research,industrial engineering,,0,0
58,geological sciences,geology,,0,0
59,botany,botany,,1,0
60,chemistry,chemistry,,1,0
61,finance,finance,,1,0
62,educational administration,school administration,,0,0
63,electrical engineering,electrical engineering,,1,0
64,engineering mechanics,materials science,,0,0
65,agronomy,agronomy,,1,0
66,family and child development,home economics,,0,0
67,botany,botany,,1,0
68,engineering science and mechanics,mechanics,,0,0
69,food science and technology,food science,,0,0
70,educational administration,school administration,,0,0
71,forestry,forestry,,1,0
72,counselor education,academic guidance counseling,,0,0
73,aerospace and ocean engineering,aerospace materials,,0,0
74,curriculum and instruction,curricula,,0,0
75,administration and supervision of special education,academic guidance counseling,,0,0
76,curriculum and instruction,curricula,,0,0
77,counseling and student personnel services,academic guidance counseling,,0,0
78,chemistry,polymers,,0,0
79,materials engineering science,polymers,,0,0
80,adult and continuing education,adult education,,0,0
81,chemical engineering,chemical engineering,,1,0
82,chemical engineering,chemical engineering,,1,0
83,mining and minerals engineering,mining,,0,0
84,geology,geochemistry,,0,0
85,engineering mechanics,mechanics,,0,0
86,biology,botany,,0,0
87,animal science,livestock,,0,0
88,wood science and forest products,forestry,,0,0
89,,developmental psychology,,0,0
90,educational administration,school administration,,0,0
91,vocational and technical education,vocational education,,0,0
92,electrical engineering,optics,,0,0
93,family and child development,preschool education,,0,0
94,environmental design and planning,architecture,,0,0
95,civil engineering,civil engineering,,1,0
96,engineering mechanics,materials science,,0,0
97,weed science,botany,,0,0
98,chemistry,chemistry,,1,0
99,chemistry,polymers,,0,0
100,comparative literature in graduate division,literature,,0,0
101,computer science carnegie-mellon university,computer science,,0,0
102,,history,,0,0
103,,mathematics,,0,0
104,chemistry in partial fulfillment of,chemistry,,0,0
105,liquid propellant rocket engines a,aerospace materials,,0,0
106,psychology and committee on,psychology;experiments,,0,0
107,assistant professor william b,finance,,0,0
108,,industrial engineering,,0,0
109,,mechanics,,0,0
110,history in graduate division,history,,0,0
111,,civil engineering,,0,0
112,chemistry in graduate division,organic chemistry,,0,0
113,music in graduate division,music,,0,0
114,mathematics in graduate division,mathematics,,0,0
115,astronomy in graduate division,astronomy;astrophysics,,0,0
116,engineering in graduate division,electrical engineering,,0,0
117,,computer science,,0,0
118,civil engineering carnegie-mellon university,civil engineering,,0,0
119,history,history,,1,0
120,electrical engineering,electrical engineering,,1,0
121,history readers david h,history,,0,0
122,electrical engineering,electrical engineering,,1,0
123,,biostatistics,,0,0
124,,psychology;experiments,,0,0
125,,education history,,0,0
126,,school administration,,0,0
127,,special education,,0,0
128,,school administration,,0,0
129,,public health,,0,0
130,,mathematics,,0,0
131,,mathematics,,0,0
132,,physics,,0,0
133,,literature,,0,0
134,,biology,,0,0
135,pharmacology graduate school,pharmacology,,0,0
136,,political science,,0,0
137,,educational psychology,,0,0
138,chemistry in partial fulfillment of,chemistry,,0,0
139,chemistry in partial fulfillment of,chemistry,,0,0
140,chemistry in partial fulfillment of,organic chemistry,,0,0
141,chemistry in partial fulfiliment of,chemistry,,0,0
142,,civil engineering,,0,0
143,,organic chemistry,,0,0
144,liquid propellant rocket engines a,aerospace materials,,0,0
145,,electrical engineering,,0,0
146,,sanitation,,0,0
147,,chemistry,,0,0
148,,industrial engineering,,0,0
149,,electrical engineering,,0,0
150,english and committee on,literature,,0,0
151,physics and committee on,condensation,,0,0
152,electrical engineering and committee on,electrical engineering,,0,0
153,chemistry and committee on,organic chemistry,,0,0
154,psychology and committee on,psychology;experiments;cognitive therapy;linguistics,,0,0
155,psychology and committee on,psychology;experiments,,0,0
156,,linguistics,,0,0
157,university of michigan 1970,pharmacology,,0,0
158,university of michigan 1970,organic chemistry,,0,0
159,university of michigan 1970,school administration,,0,0
160,university of michigan 1970,philosophy,,0,0
161,,zoology,,0,0
162,university of michigan 1970,analytical chemistry,,0,0
163,university of michigan economics,economic theory,,0,0
164,,chemical engineering,,0,0
165,,aerospace materials,,0,0
166,,psychology;experiments,,0,0
167,,condensation,,0,0
168,,organic chemistry,,0,0
169,,electrical engineering,,0,0
170,,industrial engineering,,0,0
171,,organic chemistry,,0,0
172,,mathematics,,0,0
173,,electromagnetism,,0,0
174,,metallurgy,,0,0
175,,metallurgy,,0,0
176,,organic chemistry,,0,0
177,,aerospace materials,,0,0
178,,biophysics,,0,0
179,,psychology;experiments,,0,0
180,,mechanics,,0,0
181,,condensation,,0,0
