extracted_title,title,title_match
some aspects of radiation induced nucleation in water,some aspects of radiation induced nucleation in water,1
procedures as a representation for data in a computer program for understanding natural language,procedures as a representation for data in a computer program for understanding natural language,1
an experimental investigation of oil spreading over water,an experimental investigation of oil spreading over water,1
digital simulation of a transportation interface,digital simulation of a transportation interface,1
immersions of symmetric spaces,immersions of symmetric spaces,1
inertial gyro lifecycle costs  analysis and management,inertial gyro lifecycle costs  analysis and management,1
ionization in seeded detonation waves,ionization in seeded detonation waves,1
ethyl alcohol as fuel for internal combustion engines,ethyl alcohol as fuel for internal combustion engines,1
dynamics of the tankship industry,dynamics of the tankship industry,1
analysis of tape drives,analysis of tape drives,1
a headquarters for the world health organization in geneva switzerland,a headquarters for the world health organization in geneva switzerland,1
cocommutative hopf algebras with antipode,cocommutative hopf algebras with antipode,1
on the mechanics of twist insertion,on the mechanics of twist insertion,1
,a museum of history for boston,0
buildings as systems,buildings as systems,1
a building system based on growth,a building system based on growth,1
automatic generation of thermodynamic networks,automatic generation of thermodynamic networks,1
performance of hydrofoil systems,performance of hydrofoil systems,1
an investigation of the power spectral density of atmospheric turbulence,an investigation of the power spectral density of atmospheric turbulence,1
survey and city plan for keene nh,survey and city plan for keene nh,1
an economic background study of new bedford massachusetts,an economic background study of new bedford massachusetts,1
,a planning program for the towns of the bridgeport connecticut region,0
a proposal for the structural reorganization of the planning function in new york city,a proposal for the structural reorganization of the planning function in new york city,1
,stall propagation in axial compressors,0
calendering of an elasticviscous material,calendering of an elasticviscous material,1
oxidation studies in metalcarbon systems,oxidation studies in metalcarbon systems,1
a critical survey of published physical planning principles,a critical survey of published physical planning principles,1
,new ywca building pittsburgh pa,0
a development study for north philadelphia airport,a development study for north philadelphia airport,1
xray diffraction analysis of the structure of deoxyribonucleic acid,xray diffraction analysis of the structure of deoxyribonucleic acid,1
toward a new architecture for industry,toward a new architecture for industry,1
the raman spectra and structure of silica and the sodasilica glasses,the raman spectra and structure of silica and the sodasilica glasses,1
the response of continuous systems to random noise fields,the response of continuous systems to random noise fields,1
,the community costs resulting from growth,0
lateral dynamics and control of rail vehicles,lateral dynamics and control of rail vehicles,1
hydraulic damper design for a knee prosthesis,hydraulic damper design for a knee prosthesis,1
modeling and simulation of a steam power station,modeling and simulation of a steam power station,1
modal analysis and control of flexible manipulator arms,modal analysis and control of flexible manipulator arms,1
grammar for vision,grammar for vision,1
air rights development of urban transit corridors,air rights development of urban transit corridors,1
housingbox and panel,housing  box and panel,0
an additive approach to the design of urban paths and edges,an additive approach to the design of urban paths and edges,1
natural forces and the craft of building site reconnaissance,natural forces and the craft of building  site reconnaissance,0
the corrosion of steel in saline solutions of hydrogen sulfide,the corrosion of steel in saline solutions of hydrogen sulfide,1
the chromiumoxygenhydrogen equilibrium in liquid iron,the chromiumoxygenhydrogen equilibrium in liquid iron,1
for the degrees of master in architecture to william wilson wurster dean school of architecture aud planning massachusetts institute of technology september 20 1946,a study of a railroad terminal for seattle,0
theoretical investigation of standing waves in hydraulic structures,theoretical investigation of standing waves in hydraulic structures,1
design of dynamic analyzer,design of dynamic analyzer,1
on the fourier series of the square of a function,on the fourier series of the square of a function,1
massachusetts institute of technology thesis trawler design,trawler design,0
formatting variables and typeface variations of dotmatrix print and their effect on reading comprehension and reading speed,formatting variables and typeface variations of dotmatrix print and their effect on reading comprehension and reading speed  type  readability  computer  legibility ,0
a comparison of the efficiency and effectiveness of two models for determining the cost of special education programs,a comparison of the efficiency and effectiveness of two models for determining the cost of special education programs  virginia  finance  evaluation ,0
fundamental adhesive studies of block copolymers,fundamental adhesive studies of block copolymers,1
the experience of the catholic diocese of richmond with esea title i april 1965  december 1976,the experience of the catholic diocese of richmond with esea title i  april 1965  december 1976  virginia  churchstate ,0
assessment of coal liquefaction behavior through product characterization with hyphenated chromatographicspectroscopic methods,assessment of coal liquefaction behavior through product characterization with hyphenated chromatographicspectroscopic methods,1
scaling effect in cone penetration testing in sand,scaling effect in cone penetration testing in sand,1
intelligent and integrated load management system,intelligent and integrated load management system,1
attentional demand evaluation for an automobile movingmap navigation system,attentional demand evaluation for an automobile movingmap navigation system,1
refractometry by total reflection,refractometry by total reflection,1
the systematics and ecology of boletes with special reference to the genus suillus and its ectomycorrhizal relationships in nepal,the systematics and ecology of boletes with special reference to the genus suillus and its ectomycorrhizal relationships in nepal,1
design and characterization of zeolite supported cobalt carbonyl catalysts,design and characterization of zeolite supported cobalt carbonyl catalysts,1
the agency cost of financial decision making an empirical analysis,the agency cost of financial decisionmaking  an empirical analysis,0
an analysis of trends and conditions in school districts with black superintendents and a composite profile of the black superintendent at hisher initial appointment,an analysis of trends and conditions in school districts with black superintendents and a composite profile of the black superintendent at hisher initial appointment,1
