,extracted_university,university,ins_match
0,massachusetts institute of technology,massachusetts institute of technology,1
1,massachusetts institute of technology,massachusetts institute of technology,1
2,massachusetts institute of technology,massachusetts institute of technology,1
3,massachusetts institute of technology,massachusetts institute of technology,1
4,massachusetts institute of technology,massachusetts institute of technology,1
5,massachusetts institute of technology,massachusetts institute of technology,1
6,massachusetts institute of technology,massachusetts institute of technology,1
7,massachusetts institute of technology,massachusetts institute of technology,1
8,massachusetts institute of technology,massachusetts institute of technology,1
9,massachusetts institute of technology,massachusetts institute of technology,1
10,massachusetts institute of technology,massachusetts institute of technology,1
11,massachusetts institute of technology,massachusetts institute of technology,1
12,massachusetts institute of technology,massachusetts institute of technology,1
13,massachusetts institute of technology,massachusetts institute of technology,1
14,massachusetts institute of technology,massachusetts institute of technology,1
15,massachusetts institute of technology,massachusetts institute of technology,1
16,massachusetts institute of technology,massachusetts institute of technology,1
17,massachusetts institute of technology,massachusetts institute of technology,1
18,massachusetts institute of technology,massachusetts institute of technology,1
19,massachusetts institute of technology,massachusetts institute of technology,1
20,massachusetts institute of technology,massachusetts institute of technology,1
21,,massachusetts institute of technology,0
22,massachusetts institute of technology,massachusetts institute of technology,1
23,massachusetts institute of technology,massachusetts institute of technology,1
24,massachusetts institute of technology,massachusetts institute of technology,1
25,massachusetts institute of technology,massachusetts institute of technology,1
26,massachusetts institute of technology,massachusetts institute of technology,1
27,massachusetts institute of technology,massachusetts institute of technology,1
28,,massachusetts institute of technology,0
29,massachusetts institute of technology,massachusetts institute of technology,1
30,massachusetts institute of technology,massachusetts institute of technology,1
31,massachusetts institute of technology,massachusetts institute of technology,1
32,massachusetts institute of technology,massachusetts institute of technology,1
33,massachusetts institute of technology,massachusetts institute of technology,1
34,massachusetts institute of technology,massachusetts institute of technology,1
35,massachusetts institute of technology,massachusetts institute of technology,1
36,massachusetts institute of technology,massachusetts institute of technology,1
37,massachusetts institute of technology,massachusetts institute of technology,1
38,massachusetts institute of technology,massachusetts institute of technology,1
39,massachusetts institute of technology,massachusetts institute of technology,1
40,massachusetts institute of technology,massachusetts institute of technology,1
41,massachusetts institute of technology,massachusetts institute of technology,1
42,massachusetts institute of technology,massachusetts institute of technology,1
43,massachusetts institute of technology,massachusetts institute of technology,1
44,massachusetts institute of technology,massachusetts institute of technology,1
45,,massachusetts institute of technology,0
46,,massachusetts institute of technology,0
47,massachusetts institute of technology,massachusetts institute of technology,1
48,massachusetts institute of technology,massachusetts institute of technology,1
49,,massachusetts institute of technology,0
50,virginia polytechnic institute and state university,virginia polytechnic institute and state university,1
51,virginia polytechnic institute and state university,virginia polytechnic institute and state university,1
52,virginia polytechnic institute and state university,virginia polytechnic institute and state university,1
53,virginia polytechnic institute and state university,virginia polytechnic institute and state university,1
54,virginia polytechnic institute and state university,virginia polytechnic institute and state university,1
